id  title authors
1 The Declaration of Independence of the United States of America Jefferson, Thomas
2 The United States Bill of Rights. The Ten Original Amendments to the Constitution of the United States  United States
3 John F. Kennedy's Inaugural Address Kennedy, John F. (John Fitzgerald)
4 Lincoln's Gettysburg Address. Given November 19, 1863 on the battlefield near Gettysburg, Pennsylvania, USA Lincoln, Abraham
5 The United States Constitution  United States
6 Give Me Liberty or Give Me Death  Henry, Patrick
7 The Mayflower Compact 
8 Abraham Lincoln's Second Inaugural Address  Lincoln, Abraham
9 Abraham Lincoln's First Inaugural Address Lincoln, Abraham
10  The King James Version of the Bible 
11  Alice's Adventures in Wonderland  Carroll, Lewis
12  Through the Looking-Glass Carroll, Lewis
13  The Hunting of the Snark: An Agony in Eight Fits  Carroll, Lewis
14  The 1990 CIA World Factbook United States. Central Intelligence Agency
15  Moby Dick Melville, Herman
16  Peter Pan Barrie, J. M. (James Matthew)
17  The Book of Mormon. An Account Written by the Hand of Mormon Upon Plates Taken from the Plates of Nephi Smith, Joseph, Jr.
18  The Federalist Papers Hamilton, Alexander
19  The Song of Hiawatha  Longfellow, Henry Wadsworth
20  Paradise Lost Milton, John
21  Aesop's Fables. Translated by George Fyler Townsend Aesop
22  Roget's Thesaurus Roget, Peter Mark
23  Narrative of the Life of Frederick Douglass, an American Slave  Douglass, Frederick
24  O Pioneers! Cather, Willa
25  The 1991 CIA World Factbook United States. Central Intelligence Agency
26  Paradise Lost Milton, John
27  Far from the Madding Crowd  Hardy, Thomas
28  Aesop's Fables  Aesop
29  The 1990 United States Census United States. Bureau of the Census
30  The Bible, King James Version, Complete 
31  Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone  Sophocles
32  Herland Gilman, Charlotte Perkins
33  The Scarlet Letter  Hawthorne, Nathaniel
34  Zen and the Art of the Internet Kehoe, Brendan P.
35  The Time Machine  Wells, H. G. (Herbert George)
36  The War of the Worlds Wells, H. G. (Herbert George)
37  The 1990 United States Census [2nd] United States. Bureau of the Census
38  The Jargon File, Version 2.9.10, 01 Jul 1992  
39  Hitchhiker's Guide to the Internet  Krol, Ed
40  NorthWestNet User Services Internet Resource Guide (NUSIRG) Kochmer, Jonathan
41  The Legend of Sleepy Hollow Irving, Washington
42  The Strange Case of Dr. Jekyll and Mr. Hyde Stevenson, Robert Louis
43  The Strange Case of Dr. Jekyll and Mr. Hyde Stevenson, Robert Louis
44  The Song of the Lark  Cather, Willa
45  Anne of Green Gables  Montgomery, L. M. (Lucy Maud)
46  A Christmas Carol in Prose; Being a Ghost Story of Christmas  Dickens, Charles
47  Anne of Avonlea Montgomery, L. M. (Lucy Maud)
48  The 1992 CIA World Factbook United States. Central Intelligence Agency
49  Surfing the Internet: An Introduction. Version 2.0.2  Polly, Jean Armour
50  Pi  Hemphill, Scott
51  Anne of the Island  Montgomery, L. M. (Lucy Maud)
52  The Square Root of 2  Kerr, Stan
53  Workshop on Electronic Texts: Proceedings, 9-10 June 1992 Library of Congress
54  The Marvelous Land of Oz  Baum, L. Frank (Lyman Frank)
55  The Wonderful Wizard of Oz  Baum, L. Frank (Lyman Frank)
56  NREN for All: Insurmountable Opportunity  Polly, Jean Armour
57  Aladdin and the Magic Lamp  Unknown
58  Paradise Regained Milton, John
59  Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences Descartes, René
60  The Scarlet Pimpernel Orczy, Emmuska Orczy, Baroness
61  The Communist Manifesto Engels, Friedrich
62  A Princess of Mars  Burroughs, Edgar Rice
63  "The Number ""e"""  Unknown
64  The Gods of Mars  Burroughs, Edgar Rice
65  The First 100,000 Prime Numbers Unknown
66  The Dawn of Amateur Radio in the U.K. and Greece: A Personal View Joly, Norman F.
67  The Black Experience in America Coombs, Norman
68  Warlord of Mars Burroughs, Edgar Rice
69  The 32nd Mersenne Prime. Predicted by Mersenne  Slowinski, David
70  What Is Man? and Other Essays Twain, Mark
71  On the Duty of Civil Disobedience Thoreau, Henry David
72  Thuvia, Maid of Mars  Burroughs, Edgar Rice
73  The Red Badge of Courage: An Episode of the American Civil War  Crane, Stephen
74  The Adventures of Tom Sawyer  Twain, Mark
75  E-mail 101  Goodwin, John E.
76  Adventures of Huckleberry Finn  Twain, Mark
77  The House of the Seven Gables Hawthorne, Nathaniel
78  Tarzan of the Apes  Burroughs, Edgar Rice
79  Terminal Compromise Schwartau, Winn
80  The Online World  De Presno, Odd
81  The Return of Tarzan  Burroughs, Edgar Rice
82  Ivanhoe: A Romance  Scott, Walter
83  From the Earth to the Moon; and, Round the Moon Verne, Jules
84  Frankenstein; Or, The Modern Prometheus Shelley, Mary Wollstonecraft
85  The Beasts of Tarzan  Burroughs, Edgar Rice
86  A Connecticut Yankee in King Arthur's Court Twain, Mark
87  The 1993 CIA World Factbook United States. Central Intelligence Agency
88  Price/Cost Indexes from 1875 to 1989; Estimated to 2010 Hart, Michael
